Rank,Year,Artist,Song1,Chart_Year
1,1956,The Five Satins,In The Still Of The Nite,1989
2,1954,The Penguins,Hey Senorita,1989
3,1977,Elvis Presley,My Way,1989
4,1961,Elvis Presley,Can't Help Falling In Love,1989
5,1964,The 4 Seasons,Rag Doll,1989
6,1962,The Duprees,You Belong To Me,1989
7,1960,"The Chimes [60s, Brooklyn]",Once In Awhile,1989
8,1963,Earls,I Believe,1989
9,1957,Mello-Kings,"Tonite, Tonite",1989
10,1958,The Skyliners,Since I Don't Have You,1989
11,1957,Elvis Presley,Jailhouse Rock,1989
12,1958,The Elegants,Little Star,1989
13,1959,Bobby Darin,Mack The Knife,1989
14,1962,The Earls,Remember Then,1989
15,1968,The Beatles,Hey Jude,1989
16,1956,Elvis Presley,Don't Be Cruel,1989
17,1958,Dion And The Belmonts,I Wonder Why,1989
18,1955,The Platters,Only You (And You Alone),1989
19,1957,The Dell-Vikings,Whispering Bells,1989
20,1970,Elvis Presley,The Wonder Of You,1989
21,1977,Heatwave,Always And Forever,1989
22,1956,The Platters,My Prayer,1989
23,1965,Jay And The Americans,"Cara, Mia",1989
24,1961,Dion,Runaround Sue,1989
25,1982,The Capris [New York],Morse Code Of Love,1989
26,1961,The Tokens,The Lion Sleeps Tonight,1989
27,1968,Brooklyn Bridge,Worst That Could Happen,1989
28,1954,Bill Haley And His Comets,Thirteen Women (And Only One Man In Town),1989
29,1958,The Fidelity's,The Things I Love,1989
30,1963,The Ronettes,Be My Baby,1989
31,1959,The Flamingos,I Only Have Eyes For You,1989
32,1961,The Marcels,Blue Moon,1989
33,1960,The Capris [New York],There's A Moon Out Tonight,1989
34,1958,The Crests,16 Candles,1989
35,1956,Elvis Presley,Love Me Tender,1989
36,1964,The Righteous Brothers,You've Lost That Lovin' Feelin',1989
37,1958,Ritchie Valens,Donna,1989
38,1959,Dion And The Belmonts,A Teenager In Love,1989
39,1964,Mary Wells,My Guy,1989
40,1962,The 4 Seasons,Sherry,1989
41,1958,Tommy Edwards,It's All In The Game,1989
42,1963,The Classics [Brooklyn],Till Then,1989
43,1958,Chuck Berry,Johnny B. Goode,1989
44,1961,The Angels,Til,1989
45,1977,Billy Joel,Just The Way You Are,1989
46,1965,The Rolling Stones,(I Can't Get No) Satisfaction,1989
47,1957,The Dell-Vikings,Come Go With Me,1989
48,1964,The Temptations,My Girl,1989
49,1960,The Shirelles,Will You Love Me Tomorrow,1989
50,1958,The Danleers,One Summer Night,1989
1,1956,The Five Satins,The Jones Girl,1989
2,1954,The Penguins,Earth Angel,1989
3,1977,Elvis Presley,America,1989
4,1961,Elvis Presley,Rock-A-Hula Baby,1989
5,1964,The 4 Seasons,Silence Is Golden,1989
6,1962,The Duprees,Take Me As I Am,1989
7,1960,"The Chimes [60s, Brooklyn]",Summer Night,1989
