,Artist,Rank,Song1,Year
0,The Five Satins,1,In The Still Of The Nite,1956
1,Elvis Presley,2,My Way,1977
2,Bobby Darin,3,Mack The Knife,1959
3,Dion And The Belmonts,4,A Teenager In Love,1959
4,The Beatles,5,Hey Jude,1968
5,Elvis Presley,6,Love Me Tender,1956
6,The Penguins,7,Hey Senorita,1954
7,The 4 Seasons,8,Rag Doll,1964
8,The Skyliners,9,Since I Don't Have You,1958
9,Chicago,10,Beginnings,1971
10,Elvis Presley,11,Jailhouse Rock,1957
11,Johnny Mathis,12,Chances Are,1957
12,The 4 Seasons,13,I've Got You Under My Skin,1966
13,Debby Boone,14,You Light Up My Life,1977
14,Billy Joel,15,Just The Way You Are,1977
15,Jay And The Americans,16,"Cara, Mia",1965
16,Mello-Kings,17,"Tonite, Tonite",1957
17,Elvis Presley,18,Don't Be Cruel,1956
18,The Angels,19,Til,1961
19,The Platters,20,The Great Pretender,1955
20,The Happenings,21,See You In September,1966
21,The Beatles,22,Yesterday,1965
22,Randy And The Rainbows,23,Denise,1963
23,Frank Sinatra,24,My Way,1969
24,Elvis Presley,25,Can't Help Falling In Love,1961
25,The Flamingos,26,I Only Have Eyes For You,1959
26,The 4 Seasons,27,Dawn (Go Away),1964
27,The Duprees,28,You Belong To Me,1962
28,Village People,29,Y.M.C.A.,1978
29,Johnny Mathis,30,Chances Are,1957
30,Elvis Presley With The Jordanaires,31,Return To Sender,1962
31,The Shirelles,32,Soldier Boy,1962
32,Brooklyn Bridge,33,Worst That Could Happen,1968
33,Paul Anka,34,Put Your Head On My Shoulder,1959
34,The Videos,35,"Trickle, Trickle",1958
35,Peaches And Herb,36,Reunited,1979
36,Little Anthony And The Imperials,37,Tears On My Pillow,1958
37,The Beatles,38,Help!,1965
38,Fats Domino,39,Blueberry Hill,1956
39,Commodores,40,Three Times A Lady,1978
40,The Shirelles,41,Will You Love Me Tomorrow,1960
41,The 4 Seasons,42,Sherry,1962
42,Elvis Presley,43,The Wonder Of You,1970
43,The Association,44,Cherish,1966
44,The Platters,45,My Prayer,1956
45,Barry Manilow,46,I Write The Songs,1975
46,Jay And The Americans,47,This Magic Moment,1968
47,Elvis Presley With The Jordanaires,48,Are You Lonesome To-night?,1960
48,The Earls,49,Remember Then,1962
49,Bee Gees,50,Tragedy,1979
50,The Five Satins,1,The Jones Girl,1956
51,Elvis Presley,2,America,1977
52,Bobby Darin,3,Was There A Call For Me,1959
53,Dion And The Belmonts,4,I've Cried Before,1959
54,The Beatles,5,Revolution,1968
55,Elvis Presley,6,Anyway You Want Me (That's How I'll Be),1956
56,The Penguins,7,Earth Angel,1954
57,The 4 Seasons,8,Silence Is Golden,1964
58,The Skyliners,9,"One Night, One Night",1958
59,Chicago,10,Colour My World,1971
60,Elvis Presley,11,Treat Me Nice,1957
61,Johnny Mathis,12,The Twelfth Of Never,1957
62,The 4 Seasons,13,Huggin' My Pillow,1966
63,Debby Boone,14,Hasta Mañana,1977
64,Billy Joel,15,Get It Right The First Time,1977
65,Jay And The Americans,16,When It's All Over,1965
66,Mello-Kings,17,Do Baby Do,1957
67,Elvis Presley,18,Hound Dog,1956
68,The Angels,19,A Moment Ago,1961
69,The Platters,20,I'm Just A Dancing Partner,1955
70,The Happenings,21,He Thinks He's A Hero,1966
71,The Beatles,22,Act Naturally,1965
72,Randy And The Rainbows,23,Come Back,1963
73,Frank Sinatra,24,Blue Lace,1969
74,Elvis Presley,25,Rock-A-Hula Baby,1961
75,The Flamingos,26,Goodnight Sweetheart,1959
76,The 4 Seasons,27,No Surfin' Today,1964
77,The Duprees,28,Take Me As I Am,1962
78,Village People,29,The Women,1978
79,Johnny Mathis,30,The Twelfth Of Never,1957
80,Elvis Presley With The Jordanaires,31,Where Do You Come From,1962
81,The Shirelles,32,Love Is A Swingin' Thing,1962
82,Brooklyn Bridge,33,"Your Kite, My Kite.",1968
83,Paul Anka,34,Don't Ever Leave Me,1959
84,The Videos,35,"Moonglow, You Know",1958
85,Peaches And Herb,36,Easy As Pie,1979
86,Little Anthony And The Imperials,37,Two People In The World,1958
87,The Beatles,38,I'm Down,1965
88,Fats Domino,39,Honey Chile,1956
89,Commodores,40,Look What You've Done To Me,1978
90,The Shirelles,41,Boys,1960
91,The 4 Seasons,42,I've Cried Before,1962
92,Elvis Presley,43,Mama Liked The Roses,1970
93,The Association,44,Don't Blame It On Me,1966
94,The Platters,45,Heaven On Earth,1956
95,Barry Manilow,46,A Nice Boy Like Me,1975
96,Jay And The Americans,47,Since I Don't Have You,1968
97,Elvis Presley With The Jordanaires,48,I Gotta Know,1960
98,The Earls,49,Let's Waddle,1962
99,Bee Gees,50,Until,1979
100,Dion,51,Runaround Sue,1961
101,Engelbert Humperdinck,52,After The Lovin',1976
102,The Excellents,53,Coney Island Baby,1962
103,The Rolling Stones,54,(I Can't Get No) Satisfaction,1965
104,Roberta Flack,55,The First Time Ever I Saw Your Face,1972
105,Elvis Presley,56,Suspicious Minds,1969
106,The Skyliners,57,This I Swear,1959
107,Anne Murray,58,You Needed Me,1978
108,Paul Anka,59,Diana,1957
109,The Platters,60,Only You (And You Alone),1955
110,Donna Summer,61,Last Dance,1978
111,Barbra Streisand,62,"Love Theme From ""A Star Is Born"" (Evergreen)",1976
112,Chubby Checker,63,The Twist,1961
113,Tommy Edwards,64,It's All In The Game,1958
114,The Doors,65,Light My Fire,1967
115,The Crests,66,16 Candles,1958
116,Elvis Presley,67,Memories,1969
117,The Supremes,68,Baby Love,1964
118,The Drifters,69,Under The Boardwalk,1964
119,Blondie,70,Heart Of Glass,1979
120,The Duprees,71,My Own True Love,1962
121,Barry Manilow,72,Copacabana (At The Copa) [Long Version],1978
122,The Beach Boys,73,Surfer Girl,1963
123,Diana Ross,74,Ain't No Mountain High Enough,1970
124,Dion,75,The Wanderer,1961
125,Simon And Garfunkel,76,Bridge Over Troubled Water,1970
126,Led Zeppelin,77,Stairway To Heaven [Mono],1972
127,Bill Haley And His Comets,78,Thirteen Women (And Only One Man In Town),1954
128,The 4 Seasons,79,Let's Hang On!,1965
129,Danny And The Juniors,80,At The Hop,1957
130,Jim Croce,81,"Bad, Bad Leroy Brown",1973
131,"The Chimes [60s, Brooklyn]",82,Once In Awhile,1960
132,The Elegants,83,Little Star,1958
133,Jan And Dean,84,Surf City,1963
134,The Tymes,85,So Much In Love,1963
135,The Cleftones,86,Heart And Soul,1961
136,Climax,87,Precious And Few,1971
137,The Ronettes,88,Be My Baby,1963
138,Elvis Presley,89,Heartbreak Hotel,1956
139,Jerry Butler And The Impressions,90,For Your Precious Love,1958
140,Jefferson Airplane,91,Somebody To Love,1967
141,Bee Gees,92,Too Much Heaven,1978
142,Elvis Presley With The Jordanaires,93,It's Now Or Never,1960
143,Dan Hill,94,Sometimes When We Touch,1977
144,The Teenagers Featuring Frankie Lymon,95,Why Do Fools Fall In Love,1955
145,Barry Manilow,96,Weekend In New England,1976
146,The Dell-Vikings,97,Whispering Bells,1957
147,The Drifters,98,Up On The Roof,1962
148,Harry Chapin,99,Taxi,1972
149,Elvis Presley With The Jordanaires,100,Loving You,1957
150,Dion,51,Runaway Girl,1961
151,Engelbert Humperdinck,52,Let's Remember The Good Times,1976
152,The Excellents,53,You Baby You,1962
153,The Rolling Stones,54,The Under Assistant West Coast Promotion Man,1965
154,Roberta Flack,55,Trade Winds,1972
155,Elvis Presley,56,You'll Think Of Me,1969
156,The Skyliners,57,Tomorrow,1959
157,Anne Murray,58,I Still Wish The Very Best For You,1978
158,Paul Anka,59,Don't Gamble With Love,1957
159,The Platters,60,"Bark, Battle And Ball",1955
160,Donna Summer,61,With Your Love,1978
161,Barbra Streisand,62,I Believe In Love,1976
162,Chubby Checker,63,Twistin' U.S.A.,1961
163,Tommy Edwards,64,Please Love Me Forever,1958
164,The Doors,65,The Crystal Ship,1967
165,The Crests,66,Beside You,1958
166,Elvis Presley,67,Charro,1969
167,The Supremes,68,Ask Any Girl,1964
168,The Drifters,69,I Don't Want To Go On Without You,1964
169,Blondie,70,11,1979
170,The Duprees,71,Ginny,1962
171,Barry Manilow,72,Copacabana (At The Copa) [Short Version],1978
172,The Beach Boys,73,Little Deuce Coupe,1963
173,Diana Ross,74,Can't It Wait Until Tomorrow,1970
174,Dion,75,The Majestic,1961
175,Simon And Garfunkel,76,Keep The Customer Satisfied,1970
176,Led Zeppelin,77,Stairway To Heaven [Stereo],1972
177,Bill Haley And His Comets,78,(We're Gonna) Rock Around The Clock,1954
178,The 4 Seasons,79,On Broadway Tonight,1965
179,Danny And The Juniors,80,Sometimes (When I'm All Alone),1957
180,Jim Croce,81,A Good Time Man Like Me Ain't Got No Business (Singin' The Blues),1973
181,"The Chimes [60s, Brooklyn]",82,Summer Night,1960
182,The Elegants,83,Getting Dizzy,1958
183,Jan And Dean,84,She's My Summer Girl,1963
184,The Tymes,85,Roscoe James McClain,1963
185,The Cleftones,86,How Do You Feel,1961
186,Climax,87,Park Preserve,1971
187,The Ronettes,88,Tedesco And Pitman,1963
188,Elvis Presley,89,I Was The One,1956
189,Jerry Butler And The Impressions,90,Sweet Was The Wine,1958
190,Jefferson Airplane,91,She Has Funny Cars,1967
191,Bee Gees,92,Rest Your Love On Me,1978
192,Elvis Presley With The Jordanaires,93,A Mess Of Blues,1960
193,Dan Hill,94,Still Not Used To,1977
194,The Teenagers Featuring Frankie Lymon,95,Please Be Mine,1955
195,Barry Manilow,96,Say The Words,1976
196,The Dell-Vikings,97,Don't Be A Fool,1957
197,The Drifters,98,Another Night With The Boys,1962
198,Harry Chapin,99,Empty,1972
199,Elvis Presley With The Jordanaires,100,(Let Me Be Your) Teddy Bear,1957
200,Smokey Robinson And The Miracles,101,The Tears Of A Clown,1970
201,Neil Diamond,102,Solitary Man,1970
202,Buddy Holly,103,Peggy Sue,1957
203,The Righteous Brothers,104,You've Lost That Lovin' Feelin',1964
204,The Beatles,105,I Want To Hold Your Hand,1963
205,The Everly Brothers,106,Let It Be Me,1959
206,Shelley Fabares,107,Johnny Angel,1962
207,Jan And Dean,108,The Little Old Lady (From Pasadena),1964
208,Conway Twitty,109,It's Only Make Believe,1958
209,Johnny Burnette,110,Dreamin',1960
210,Frankie Valli,111,Can't Take My Eyes Off You,1967
211,Bread,112,If,1971
212,Elvis Presley,113,Hound Dog,1956
213,The Platters,114,Smoke Gets In Your Eyes,1958
214,Frankie Valli,115,Swearin' To God,1975
215,Neil Diamond,116,Holly Holy,1969
216,The Danleers,117,One Summer Night,1958
217,Bobby Rydell,118,Swingin' School,1960
218,Barbra Streisand,119,The Way We Were,1973
219,Barry Manilow,120,Can't Smile Without You,1978
220,Dion And The Belmonts,121,Where Or When,1959
221,Frankie Lymon,122,Goody Goody,1957
222,The Beatles With Billy Preston,123,Get Back,1969
223,Gene Chandler,124,Duke Of Earl,1961
224,Chuck Berry,125,Johnny B. Goode,1958
225,Elvis Presley,126,In The Ghetto,1969
226,Elton John,127,Your Song,1970
227,The Intruders,128,I'll Always Love My Mama (Part I),1973
228,The Beatles,129,Michelle,1966
229,The Vogues,130,My Special Angel,1968
230,"Hamilton, Joe Frank And Reynolds",131,Fallin' In Love,1975
231,The Beach Boys,132,Good Vibrations,1966
232,Bee Gees,133,Night Fever,1978
233,Elvis Presley,134,Moody Blue,1976
234,Paul Anka,135,Times Of Your Life,1975
235,The Duprees,136,Have You Heard,1963
236,Lou Christie,137,The Gypsy Cried,1962
237,The Cleftones,138,Little Girl Of Mine,1956
238,The Stylistics,139,You Make Me Feel Brand New,1974
239,The Supremes,140,You Can't Hurry Love,1966
240,Percy Faith And His Orchestra,141,"The Theme From ""A Summer Place""",1959
241,The Classics [Brooklyn],142,Till Then,1963
242,Ray Price,143,For The Good Times,1970
243,Lou Christie,144,Lightnin' Strikes,1965
244,Barry Manilow,145,Mandy,1974
245,The Moody Blues,146,Nights In White Satin,1972
246,The Everly Brothers,147,Cathy's Clown,1960
247,Barbra And Neil,148,You Don't Bring Me FlowersAlan Lindgren,1978
248,Joanie Sommers,149,Johnny Get Angry,1962
249,The Bee Gees,150,Words,1968
250,Smokey Robinson And The Miracles,101,Promise Me,1970
251,Neil Diamond,102,The Time Is Now,1970
252,Buddy Holly,103,Everyday,1957
253,The Righteous Brothers,104,There's A Woman,1964
254,The Beatles,105,I Saw Her Standing There,1963
255,The Everly Brothers,106,Since You Broke My Heart,1959
256,Shelley Fabares,107,Where's It Gonna Get Me?,1962
257,Jan And Dean,108,My Mighty G. T. O.,1964
258,Conway Twitty,109,I'll Try,1958
259,Johnny Burnette,110,Cincinnati Fireball,1960
260,Frankie Valli,111,The Trouble With Me,1967
261,Bread,112,Take Comfort,1971
262,Elvis Presley,113,Don't Be Cruel,1956
263,The Platters,114,No Matter What You Are,1958
264,Frankie Valli,115,Why,1975
265,Neil Diamond,116,Hurtin' You Don't Come Easy,1969
266,The Danleers,117,Wheelin' And A-Dealin',1958
267,Bobby Rydell,118,Ding-A-Ling,1960
268,Barbra Streisand,119,What Are You Doing The Rest Of Your Life?,1973
269,Barry Manilow,120,Sunrise,1978
270,Dion And The Belmonts,121,That's My Desire,1959
271,Frankie Lymon,122,Creation Of Love,1957
272,The Beatles With Billy Preston,123,Don't Let Me Down,1969
273,Gene Chandler,124,Kissin' In The Kitchen,1961
274,Chuck Berry,125,Around And Around,1958
275,Elvis Presley,126,Any Day Now,1969
276,Elton John,127,Take Me To The Pilot,1970
277,The Intruders,128,I'll Always Love My Mama (Part II),1973
278,The Beatles,129,Girl,1966
279,The Vogues,130,I Keep It Hid,1968
280,"Hamilton, Joe Frank And Reynolds",131,So Good At Lovin' You,1975
281,The Beach Boys,132,Let's Go Away For Awhile,1966
282,Bee Gees,133,Down The Road,1978
283,Elvis Presley,134,She Thinks I Still Care,1976
284,Paul Anka,135,Water Runs Deep,1975
285,The Duprees,136,Love Eyes,1963
286,Lou Christie,137,Red Sails In The Sunset,1962
287,The Cleftones,138,You're Driving Me Mad,1956
288,The Stylistics,139,Only For The Children,1974
289,The Supremes,140,Put Yourself In My Place,1966
290,Percy Faith And His Orchestra,141,Go-Go-Po-Go,1959
