Year,Spotify_Popularity,Original_Year,Spotify_Rank,WCBS_Rank,WCBS_Chart_Year,Title,Artist,Predicted_Popularity
33.0,47.0,1962.0,9.0,50.0,1995.0,The Twist,Chubby Checker,55.716567383465055
27.0,47.0,1962.0,9.0,68.0,1989.0,The Twist,Chubby Checker,59.16188749582035
25.0,47.0,1962.0,9.0,105.0,1987.0,The Twist,Chubby Checker,60.3570369017481
23.0,47.0,1962.0,9.0,156.0,1985.0,The Twist,Chubby Checker,61.57632992720776
21.0,47.0,1962.0,9.0,93.0,1983.0,The Twist,Chubby Checker,62.820254305666985
19.0,47.0,1962.0,9.0,80.0,1981.0,The Twist,Chubby Checker,64.08930762346303
17.0,47.0,1962.0,9.0,63.0,1979.0,The Twist,Chubby Checker,65.38399751884396
11.0,47.0,1962.0,9.0,63.0,1973.0,The Twist,Chubby Checker,69.42711812473964
29.0,61.0,1960.0,15.0,347.0,1989.0,El Paso,Marty Robbins,55.1024940880186
27.0,61.0,1960.0,15.0,380.0,1987.0,El Paso,Marty Robbins,56.21563830741296
23.0,61.0,1960.0,15.0,432.0,1983.0,El Paso,Marty Robbins,58.50984202845777
13.0,61.0,1960.0,15.0,392.0,1973.0,El Paso,Marty Robbins,64.66337583105178
23.0,8.0,1960.0,24.0,414.0,1983.0,Why,Frankie Avalon,55.82348265463768
23.0,32.0,1960.0,29.0,476.0,1983.0,Chain Gang,Sam Cooke,54.77700105054877
35.0,59.0,1960.0,32.0,71.0,1995.0,Beyond The Sea,Bobby Darin,48.1069380887971
29.0,59.0,1960.0,32.0,123.0,1989.0,Beyond The Sea,Bobby Darin,51.08170500507974
27.0,59.0,1960.0,32.0,116.0,1987.0,Beyond The Sea,Bobby Darin,52.11362389703379
25.0,59.0,1960.0,32.0,191.0,1985.0,Beyond The Sea,Bobby Darin,53.166388933404235
23.0,59.0,1960.0,32.0,245.0,1983.0,Beyond The Sea,Bobby Darin,54.24042123424269
21.0,59.0,1960.0,32.0,190.0,1981.0,Beyond The Sea,Bobby Darin,55.336150426790084
35.0,3.0,1960.0,34.0,199.0,1995.0,Night,Jackie Wilson,47.81617386007775
29.0,3.0,1960.0,34.0,345.0,1989.0,Night,Jackie Wilson,50.77296092059745
19.0,3.0,1960.0,34.0,164.0,1979.0,Night,Jackie Wilson,56.112799834035656
13.0,28.0,1960.0,43.0,482.0,1973.0,I Want To Be Wanted,Brenda Lee,58.199687681785264
27.0,37.0,1960.0,72.0,261.0,1987.0,Walking To New Orleans,Fats Domino,48.05438489143808
29.0,65.0,1960.0,80.0,351.0,1989.0,Wonderful World,Sam Cooke,46.60917156811877
13.0,1.0,1960.0,87.0,417.0,1973.0,Poetry In Motion,Johnny Tillotson,54.23948713623496
34.0,57.0,1961.0,5.0,55.0,1995.0,Runaway,Del Shannon,58.50172311472522
28.0,57.0,1961.0,5.0,65.0,1989.0,Runaway,Del Shannon,62.119267639092676
26.0,57.0,1961.0,5.0,47.0,1987.0,Runaway,Del Shannon,63.37416008688303
24.0,57.0,1961.0,5.0,100.0,1985.0,Runaway,Del Shannon,64.65440304370823
22.0,57.0,1961.0,5.0,67.0,1983.0,Runaway,Del Shannon,65.96050862382108
20.0,57.0,1961.0,5.0,118.0,1981.0,Runaway,Del Shannon,67.29299928686865
18.0,57.0,1961.0,5.0,170.0,1979.0,Runaway,Del Shannon,68.65240804688291
12.0,57.0,1961.0,5.0,50.0,1973.0,Runaway,Del Shannon,72.89763587252502
12.0,8.0,1961.0,9.0,148.0,1973.0,Raindrops,Dee Clark,68.73630675708233
34.0,62.0,1961.0,46.0,19.0,1995.0,Runaround Sue,Dion,46.85866110106782
28.0,62.0,1961.0,46.0,24.0,1989.0,Runaround Sue,Dion,49.75623887929723
26.0,62.0,1961.0,46.0,22.0,1987.0,Runaround Sue,Dion,50.761381579350406
24.0,62.0,1961.0,46.0,38.0,1985.0,Runaround Sue,Dion,51.78682950886276
22.0,62.0,1961.0,46.0,169.0,1983.0,Runaround Sue,Dion,52.83299286067893
20.0,62.0,1961.0,46.0,24.0,1981.0,Runaround Sue,Dion,53.900290114088655
18.0,62.0,1961.0,46.0,51.0,1979.0,Runaround Sue,Dion,54.98914820222415
12.0,62.0,1961.0,46.0,35.0,1973.0,Runaround Sue,Dion,58.38948722452066
28.0,30.0,1961.0,62.0,456.0,1989.0,Gee Whiz (Look At His Eyes),Carla Thomas,48.29299704814871
8.0,78.0,1987.0,67.0,65.0,1995.0,Stand By Me,Ben E. King,58.52949048439025
2.0,78.0,1987.0,67.0,53.0,1989.0,Stand By Me,Ben E. King,62.148752047004436
0.0,78.0,1987.0,67.0,50.0,1987.0,Stand By Me,Ben E. King,63.40424011934451
-2.0,78.0,1987.0,67.0,45.0,1985.0,Stand By Me,Ben E. King,64.68509073313346
-4.0,78.0,1987.0,67.0,343.0,1983.0,Stand By Me,Ben E. King,65.99181624569503
34.0,50.0,1961.0,64.0,222.0,1995.0,Spanish Harlem,Ben E. King,45.336465729904035
